Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
44,2.0,0.0,0.0,500.0,4.0,112.0,3048.0,0.1,65.60600000000002,0.0,0.0,520.5055346488953,,,,,,,,,,,,,,,,,,,,,24.421343791703976,18.839854303286973,62.996739978546294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,724.0,5.0,224.0,3272.0,0.1,179.30599999999998,0.0,0.0,540.5025765895844,,,,,,,,,,,,,,,,,,,,,75.5427416721257,48.853223240672556,162.70968252080306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,776.0,6.0,52.0,3324.0,0.1,32.507,0.0,0.0,545.4120800495148,,,,,,,,,,,,,,,,,,,,,11.16862739232374,10.95811185947873,31.99017974490924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,807.0,7.0,31.0,3355.0,0.1,16.106000000000005,0.0,0.0,548.5869162082672,,,,,,,,,,,,,,,,,,,,,5.136427810803452,5.545080064876897,15.978712183519951,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,881.0,8.0,74.0,3429.0,0.1,48.405,0.0,0.0,555.3702297210693,,,,,,,,,,,,,,,,,,,,,18.67863493821852,14.929254083707793,47.116967833270536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,968.0,9.0,87.0,3516.0,0.1,43.90600000000002,0.0,0.0,563.2455549240112,,,,,,,,,,,,,,,,,,,,,16.936708854682173,12.414236074201316,42.51749880976336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1056.0,10.0,88.0,3604.0,0.1,48.50600000000001,0.0,0.0,571.5449075698853,,,,,,,,,,,,,,,,,,,,,20.688552254896532,14.13396817124654,46.7789184595698,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1113.0,11.0,57.0,3661.0,0.1,37.106,0.0,0.0,576.914065361023,,,,,,,,,,,,,,,,,,,,,13.118683135631112,12.406252332463444,36.431060751711705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1179.0,12.0,66.0,3727.0,0.1,37.40999999999999,0.0,0.0,583.0222344398499,,,,,,,,,,,,,,,,,,,,,12.971874992508349,11.890618938012816,36.627073770962596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1311.0,13.0,132.0,3859.0,0.1,94.10499999999999,0.0,0.0,594.7956221103668,,,,,,,,,,,,,,,,,,,,,40.35495166317203,27.797624588095275,88.95596936321833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1339.0,14.0,28.0,3887.0,0.1,13.204999999999995,0.0,0.0,597.8854026794434,,,,,,,,,,,,,,,,,,,,,4.055222787368483,4.513977082147469,13.117675996270231,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1416.0,15.0,77.0,3964.0,0.1,42.407,0.0,0.0,604.9926073551178,,,,,,,,,,,,,,,,,,,,,16.26502563220608,12.75143918423309,41.23702584097623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
